accent,reference,hypothesis,wer
igbo and yoruba,"Kizz has been known for dropping hit songs, so when he reached out to you for this track, how much pressure did you soak in?","Heez has been known for dropping hit songs, so when he reached out to you for his track, how much pressure did you soak in?",8.0
setswana,"He said Zimbabwes new government, which came to power after Mugabes ousting, posed an unusual and extraordinary threat to his country.","which came to power after Mugabe's harvesting, posed an unusual and extraordinary threat to his country.",28.57
isixhosa,"He is not on any medication, he is a student, does not smoke cigarette not takes alcohol. next line. Assessment Malaria. Next line. Signed Dr Afamdi Uduma","He is not on any medication, he is a student, does not smoke cigarettes, not takes alcohol. next line. Assessment Malaria. Next line. Signed Dr Afamdi Doma",7.41
afemai,The couple concluded their wedding ceremony by releasing doves.,The couple concluded their wedding ceremony by releasing doves.,0.0
afemai,Her 22 year old sister Enyinnanya lives with her in Owo and takes care of her.,Her 22 year old sister Eninaya lives with her in Owo and takes care of her.,6.25
afemai,Makeup zainabazeez,Makeup zenas bazis,100.0
afemai,"Brads are not strong, so they are used to hold lightweight trim together or to hold pieces in place during assembly.","Bread are not strong, so they are used to hold light with trim together or to hold pieces in place during assembly.",14.29
afemai,"As a cricketer , he played a few matches for Durham in the Minor Counties Championship , and had a long association with Darlington Cricket Club , as player , captain and president .","A cricketer, he played a few matches for Durham in the Minor Counties Championship, and had a long association with the Lingid Cricket Club, as a player, captain and president.",13.79
afemai,"He said Zimbabwes new government, which came to power after Mugabes ousting, posed an unusual and extraordinary threat to his country.","which came to power after Mugabe's harvesting, posed an unusual and extraordinary threat to his country.",28.57
afemai,A consultant friend recently talked about a farmer who put two round-bale pickers in a field one Saturday and picked 100 acres.,Dontant friend recently talked about a farmer who put two table-bill pickers in a field one Saturday and picked 100 horses.,18.18
afemai,"Over 10 weeks, Bek and Louise Cooper, neither of whom had any catering experience, ran the takeaway from a dark delivery-only kitchen in the deprived suburb of Erdington, where, as it happened, Bek grew up.","Over 10 weeks, Beck and Lewis Cooper, neither of whom had any kitchen experience, ran the takeaway from a Dex delivery-only kitchen in the deprived suburb of Herrington, where, as it happened, Beck grew up.",17.14
afemai,"Weve decided were just going to sell tickets. Because if we are just going to have 10 thousand people, we may as well get a bag. Its a hundred thousand naira each.","We decided were just going to sell ticket full stop because if were just going to have 10000 people, we may as well get it back full stop at 100000 Naira each.",43.75
afemai,"I want to thank each of those who have agreed to participate in this important work, County Manager Mark Schwartz stated.","I want to thank each of those who have agreed to participate in this important work, Country Manager Mark Scawart stated",9.52
afemai,Surmounting challenges as a woman my greatest achievement in creative industry,Some housing challenges as a woman my greatest achievement in creative industry.,18.18
afemai,"Menstrual bleeding for 14 days, contained with 4 pads per day with implant insertion. next line. Obialo Jimeta Dizziness, fainting spells or loss of consciousness","Menstrual bleeding for 14 days, contained with 4 parts per day with implant insertion. next line. Obiola Jimetadizines, fainting spells of loss of consciousness.",20.0
afemai,"She coordinates a chapter of an international conservation organization, Mundus Maris-Science and Arts for Sustainability that improves awareness on safe ocean resources while empowering marginalized fisherfolks on sustainability and healthy living.","She coordinated chapter of the International Conservation Organization, Mundus Maria Science and Art for sustainability that improves awareness on safe ocean resources while empowering marginalized fisher folks on sustainability and health living.",29.03
afemai,A very common disease was discovered in Bida by Ucheonwu and Ola scientists at Dutse university from 1998 to 2006.,Very common disease was discovered in Bidar by Uche Amo and Ola scientist Adusse Inversity from 1998 to 2006.,40.0
afemai,The singer is expected to release his debut album later this year.,The singer is respected to release his debut album later this year.,8.33
afemai,At a point JJC wanted to sign me,At a point JJC wanted to sign me.,0.0
afemai,It is an immunologic event during which antibodies against platelet factor 4 PF4 formed during exposure to heparin affect platelet activation and endothelial function with resultant thrombocytopenia and intravascular thrombosis.,Are you a wha...,100.0
eggon,"On examination, child was not pale, afebrile, anicteric, acyanosed. Respiratory rate is 48 cyclesmin with bilateral coarse crepitations. next line","On examination, child was not pain, afebri, anictary, acian nose. The respiratory rate is 48 circles per minute with bilateral crass crepitations.",60.0
eggon,"As some statistics show, by mid-2008, Internet Explorer 7 market share exceeded that of Internet Explorer 6 in a number of regions.","As some statistics show, by mid-2008, Internet Explorer 7 market share exceeded that of Internet Explorer 6 in a number of regions.",0.0
berom,"It became a worldwide hit in Nightclubs and rose to the top of Romanian, French, Dutch, Turkish, Finnish, Norwegian, Spanish, Swedish, and Irish singles charts.","It became a nationwide hit in nightclubs and rose to the top of Romanian, French, Dutch, Turkish, Finnish, Norwegian, Spanish, Swedish, and Irish singles charts.",4.0
bajju,"History of atopy medication, foods, or environmental is an important aspect of this evaluation in that it may predispose patients to form antibodies against antigens that may be represented by agents administered during the perioperative period.","History of etopimidication, foods, or environmental is an important aspect of this evaluation in that it may predispose patients to form antibodies against antigens that may be represented by agents administered during the perioperative period.",5.56
okirika,"On his part, the Head, Legal Services Department of CBN, Mr Kofo Salam-Alada, called on banks to support Nigerian companies to grow production in the country.","On his part, the head, Legal Services Department of CDN, Mr Kofo Salam-Alada, called on banks to support Nigerian companies to grow production in the country.",3.85
jukun,Stony corals are only distantly related to fire corals and soft corals.,Stony corals are only distantly related to fire corals and soft corals.,0.0
ebiobo,11yr old male brought in by parents on account of fever of 2 weeks duration. Next line. Cough of 3 days. Next line. Passage of watery stools of 5 days duration,11 year old male brought in by parents on account of fever of 2 weeks duration. next line. cough of 3 days. next line. Passage of watery stools of 5 days duration.,6.45
itsekiri,"With the 2023 presidential elections just around the corner, the decision of where the president should come from has been on the front burner.","With the 2023 presidential elections just around the corner, the decision of where the president should come from has been on the front burner.",0.0
okirika,A woman was left squealing in her car as a hungry ostrich decided to stick its long neck through the window and aggressively help itself to a bowl of treats.,A woman was left squealing in her car as a hungry ostrich decided to stick its long neck through the window and aggressively help itself to a bowl of treats.,0.0
