audio_path,ground_truth,dataset_origin,file_exists,whisper_medium_prediction,sample_wer,whisper_medium_prompted,sample_prompted_wer,afrispeech_medium_prediction,sample_afrispeech_wer,afrispeech_medium_cleaned,sample_afrispeech_clean_wer
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_295.mp3,The boys prance across the stage,Nigeria-AASD,True,The voice prance across the stage.,0.3333333333333333,ERROR,,<|startoftranscript|><|en|><|transcribe|><|notimestamps|>the voice runs across the stage,0.5,the voice runs across the stage,0.3333333333333333
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_1506.mp3,"We have, ok. Oh here I have a table the table is brown. Its filled with quite a number of dishes, food in different kind of emm dishes yes. There is a there is a brown, a brown chair to the right of the table. And to the yes and to left top corner.",Nigeria-AASD,True,"Oh, here I have a table. The table is brown. It's filled with quite a number of dishes, food in different kinds of dishes. There is a brown chair to the right of the table and to the left top corner.",0.35185185185185186,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>you have a laugh or a hair or have a table to table is down, it is filled with a wide number of dishes, followed in different kind of harm dishes is the reason of the brown brown chair to the left subclavian artery.",0.6666666666666666,"you have a laugh or a hair or have a table to table is down, it is filled with a wide number of dishes, followed in different kind of harm dishes is the reason of the brown brown chair to the left subclavian artery.",0.6666666666666666
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_2122.mp3,"Okposo's hit \""Welu Welu\"" gained a lot of popularity.",Nigeria-AASD,True,Opposso's hit Welu Welu gained a lot of popularity.,0.3333333333333333,ERROR,,<|startoftranscript|><|en|><|transcribe|><|notimestamps|>oposhoots value volume gained a lot of popularity,0.5555555555555556,oposhoots value volume gained a lot of popularity,0.5555555555555556
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_437.mp3,"Good good. Ok so this is used to take food from  plate to mouth. so it not  Not umm  It is not a ok I'm trying to avoid forbidden words so.  Scoop food from plate? To your mouth yes. Is it a spoon? Yes it's a spoon. Uh ok so these are two words actually one is the opposite of small. And the second is ahhh how do I put it em, the younger brother are you a religious person like a Christian?",Nigeria-AASD,True,Is the food from a plate? Is it a spoon?,0.891566265060241,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>this is good because this is used to take food from the platelet tumour today. it is not as good as a mental and humoral, because the patient has not learned in the morning.",0.8433734939759037,"this is good because this is used to take food from the platelet tumour today. it is not as good as a mental and humoral, because the patient has not learned in the morning.",0.8433734939759037
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_486.mp3,"ok, so these are people in one of the European countries, they are famous people, very famous one of the famous European countries in fact, the famous European country. Yes but they're the one that are heading everything.  the name the name the man that is heading like the man that's head of i don't understand. what's the name what's his name? no those one that are in the not the one in the government the one that are the one heading even that you know they can be the head of the whole European  yes yes the royal family so what are their name there is one name there is the biggest one the oldest man  no no the man the oldest man king what's his name yes Price Philip no no no that's the other one Prince very popular one we use it to play in Nigeria. mama charli  you say it no no no sat that name i gave you clue Charles? of what? Prince Charles of Wales. good correct",Nigeria-AASD,True,"Okay. So these are people in one of the European countries. They are famous people, very famous, one of the most famous European countries. In fact, the most famous European country. Yes, but they are the ones that are head in everything. The name, the man, the man that is head in, like the man that is head of, what are they?",0.7803468208092486,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>so these are people in inam-one of the european countries they are famous people very famous with one of the most famous european countries, the most famous european countries, if at the most famous european country, the most famous european country.",0.884393063583815,"so these are people in inam-one of the european countries they are famous people very famous with one of the most famous european countries, the most famous european countries, if at the most famous european country, the most famous european country.",0.8786127167630058
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_1610.mp3,"There has also been a reawakening of Nigerians to fashionably embrace local fabrics like aso-oke, adire, and Nigerian wax.",Nigeria-AASD,True,"There has also been a reawakening of Nigerians to fashionably embrace local fabrics like Ashoka, Adire and Nigerian wax.",0.10526315789473684,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>there has also been a re-awakening of nigerians, sequentially embraced local fabric like ashokay adiray and nigerian works.",0.5263157894736842,"there has also been a re-awakening of nigerians, sequentially embraced local fabric like ashokay adiray and nigerian works.",0.47368421052631576
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_508.mp3,"So this person is very famous, Ammm, in a type of sport where, the same sport where Serena Williams is ahhh, yeah, she's the main person but this person is a guy. Nadal? Yes, amm the full name. Rafael Nadal. Yes.",Nigeria-AASD,True,"So this person is very famous in the type of sports where, in the same sports where Fetissa Williams is, you know, she's the main person, but he, this person is a guy. Nadal? Yes. Before then. Rafael Nadal? Yes.",0.43902439024390244,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>some of these patients is very famous and in his latest types of sports, where certain of other players were shot to be in the morning when they were shot to go head-to-head.",0.926829268292683,"some of these patients is very famous and in his latest types of sports, where certain of other players were shot to be in the morning when they were shot to go head-to-head.",0.926829268292683
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_2721.mp3,"greenish   uh this is a black dog it's tilted towards the left looking um almost directly into the screen, behind it on the wall it says sprout to be a dog. the wall is cracked uh",Nigeria-AASD,True,"greenish leash on the neck. This is a black dog. He's tilted towards the left, looking almost directly into the screen. Behind it on the wall he says proud to be a dog. The wall is cracked.",0.3611111111111111,ERROR,,"<|startoftranscript|><|en|><|transcribe|><|notimestamps|>granny chair of the lesion bank, ore. this is a black dog, he stood towards the left looking up almost directly into the screen behind it on the wall is said prior to be a dog, but he is far, sub.",0.5555555555555556,"granny chair of the lesion bank, ore. this is a black dog, he stood towards the left looking up almost directly into the screen behind it on the wall is said prior to be a dog, but he is far, sub.",0.5555555555555556
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_2823.mp3,"Herbie, your phone, and your car are now paired!",Nigeria-AASD,True,"Herbie, your phone and your car are now paired.",0.2222222222222222,ERROR,,<|startoftranscript|><|en|><|transcribe|><|notimestamps|>herbee your phone and your car are now paired.,0.3333333333333333,herbee your phone and your car are now paired.,0.3333333333333333
/root/.cache/kagglehub/datasets/aiolapo/africannigerian-accent-speech-data-aasd/versions/1/audio_samples/audio_sample_2127.mp3,Are you sure you want to leave this page?,Nigeria-AASD,True,Are you sure you want to leave this page?,0.0,ERROR,,<|startoftranscript|><|en|><|transcribe|><|notimestamps|>are you sure you want to leave this page?,0.1111111111111111,are you sure you want to leave this page?,0.0
